"Error write to Backup file ""%s""","Ошибка записи в файл резервной копии ""%s"""
"Unable to create backup. Please, try again later.","Не удается создать файл с резервной копией. Пожалуйста, повторите операцию позже."
"Cannot read backup file","Не удается прочесть файл с резервной копией"
"Backup file handler don't specify","Не указан обработчик файла резервной копии"
"Backup file path don't specify","Не указан путь к файлу резервной копии"
"Wrong order of creation for new backup","Неправильный порядок создания для новой резервной копии"
"Size, byte","Размер (в байтах)"
"Backups","Резервные копии"
"Database was successfuly backed up.","Резервная копия базы данных успешно создана."
"Download","Скачать"
"Create Backup","Создать резервную копию"
"Type","Тип"
"File compressed with Zlib, but this extension is not installed on server","Файл сжат при помощи Zlib, но это расширение не установлено на сервере"
"Backup file ""%s"" doesn't exist","Файл резервной копии ""%s"" не существует"
"Backup file ""%s"" can't read or write","Файл резервной копии ""%s"" невозможно прочитать или записать"
"Backup file doesn't exist","Файл резервной копии не существует"
"DB","БД"
"All types","Все типы"
"Time","Время"
"Action","Действие"
