"--Select--","--Выбрать--"
"To","Куда"
"To:","Куда:"
"Buy %1$s with %2$s discount each","Купить %1$s со %2$s скидкой каждый"
"Default Qty","Кол-во по-умолчанию"
"User Defined Qty","Кол-во, определённое покупателем"
"Qty:","Кол-во:"
"Percent","Процент"
"Default","По-умолчанию"
"Position","Позиция"
"From","От"
"From:","От:"
"N/A","Отсутствует"
"Separately","Отдельно"
"Is Required","Обязательный"
"Required options not selected.","Обязательные параметры не выбраны."
"Store View Title","Название в магазине"
"Default Title","Название по-умолчанию"
"Price as configured","Назначенная цена"
"None","Нет"
"Radio Buttons","Радио-кнопки"
"Incl. Tax","С налогами"
"Percent Discount","Скидка в процентах"
"Gift Message","Сообщение"
"Message:","Сообщение:"
"As low as","Так низко как"
"Input Type","Тип"
"Price Type","Тип цены"
"This product is also part of bundle(s)","Товар входит в набор(ы)"
"Please specify product option(s)","Укажите параметры товара"
"Fixed","Фиксированный"
"Multiple Select","Множественная выборка"
"Close","Закрыть"
"Excl. Tax","Без налогов"
"Choose a selection...","Выбрать набор..."
"Selected required options not available.","Выбранные параметры недоступны."
"Please select products to add","Выберите товары для добавления"
"Drop-down","Выпадающий список"
"Please enter search conditions to view products.","Введите критерии поиска для товара."
"Please select options for product.","Введите параметры для товара."
"Together","Вместе"
"Checkbox","Галочка"
"Price Range","Диапазон цен"
"Dynamic","Динамичный"
"There is no defined renderer for ""%s"" option type","Для типа параметров ""%s"" нет отображения"
"No options of this product are available.","Для данного товара нет параметров."
"Shipment","Доставка"
"Ship Bundle Items","Доставка набора"
"Bundle Items","Добавить в пакет"
"Bundle Product","Добавить в пакет"
"Add Selection","Добавить набор"
"Add New Option","Добавить новый параметр"
