"Catalog","Каталог"
"Category","Категория"
"Rules were successfully applied","Правила были успешно применены"
"Rule was successfully saved","Правило было успешно сохранено"
"Rule was successfully deleted","Правило было удалено"
"Apply Rules","Применить правила"
"Priority","Приоритет"
"Stop further rules processing","Прекратить обработку других правил"
"Invoices","Платежи"
"Order Invoices","Платежи заказа"
"Shipments","Поставки"
"Order Shipments","Поставки заказа"
"Gift Messages","Поздравительные сообщения"
"Order Gift Messages","Поздравительные сообщения заказа"
"Customer is new buyer: %s","Пользователь — новый покупатель: %s"
"General Information","Общие сведения"
"Update product's %s %s: %s","Обновить продукты %s %s: %s"
"Expire at: %s","Окончание: %s"
"Options","Опции"
"Description","Описание"
"Description: %s","Описание: %s"
"Product Attribute","Атрибут товара"
"Active","Активное"
"Promotions","Акции"
"From Date","Начиная с"
"Conditions Combination","Набор условий"
"Attribute Set","Набор атрибутов"
"Rule Name","Название правила"
"Name: %s","Название: %s"
"New Rule","Новое правило"
"NOT LOGGED IN","Не в системе"
"No","Нет"
"Inactive","Неактивное"
"Unable to find a page to delete","Невозможно найти страницу для удаления"
"Unable to apply rules","Невозможно применить правила"
"The page you are trying to save no longer exists","Страница, которую вы пытаетесь сохранить, больше не существует"
"Status","Состояние"
"Save and Apply","Сохранить и применить"
"Save Rule","Сохранить правило"
"Conditions","Условия"
"Conditions (leave blank for all products)","Условия (оставьте пустым для всех товаров)"
"Delete Rule","Удалить правило"
"Catalog Price Rules","Ценовые правила для каталога"
"Catalog Price Rule","Ценовое правило для каталога"
"This rule no longer exists","Это правило больше не существует"
"Order History","История заказа"
"Comments History","История комментариев"
"ID","Идентификационный номер"
"Edit Rule","Изменить правило"
"Edit Rule '%s'","Изменить правило ' %s '"
"Rule Information","Информация о правиле"
"Start at: %s","Запуск в: %s"
"Credit Memos","Возвраты платежей"
"Order Credit Memos","Возвраты платежей заказа"
"Websites","Веб-сайты"
"Customer Groups","Группы пользователей"
"Yes","Да"
"Date From","Дата с"
"Customer registered: %s","Дата регистрации пользователя: %s"
"Date To","Дата до"
"Date Start","Дата начала"
"Date Expire","Дата окончания"
"To Date","До"
"Add New Rule","Добавить новое правило"
"Actions","Действия"
"There are rules that have been changed but not applied. Please, click Apply Rules in order to see immediate effect in catalog.","Есть изменённые правила, которые не сохранены. Нажмите ""Применить правила"", чтобы сразу увидеть изменения в каталоге."
