"(eg: domain.com/identifier)","(например: domain.com/identifier)"
"CMS","CMS"
"CMS No Route Page","CMS No Route Page"
"Keywords","Ключевые слова"
"Meta Keywords","Ключевые слова META"
"Last Modified","Последнее изменение"
"Show breadcrumbs for CMS pages","Показать ""хлебные крошки"""
"Go to Home Page","Перейти на главную страницу"
"General Information","Общая информация"
"Layout Update XML","Обновить XML шаблона"
"Description","Описание"
"Meta Description","Описание META"
"Custom Theme","Настройка темы"
"Custom Design","Настройка дизайна"
"Title","Название"
"Page Title","Название страницы"
"Block Title","Название блока"
"New Block","Новый блок"
"New Page","Новая страница"
"Unable to find a block to delete","Не найден блок, указанный для удаления"
"The page you are trying to save no longer exists","Не найдена страница, указанная для сохранения"
"Unable to find a page to delete","Не найдена страница, указанная для удаления"
"Edit Page","Редактировать страницу"
"Edit Page '%s'","Редактировать страницу '%s'"
"Edit Block","Редактировать блок"
"Edit Block '%s'","Редактировать блок '%s'"
"Page was successfully saved","Страница была успешно сохранена"
"Page was successfully deleted","Страница была успешно удалена"
"Status","Статус"
"Page Status","Статус страницы"
"Static Blocks","Статичные блоки"
"Save Page","Сохранить страницу"
"Save Block","Сохранить блок"
"Content","Содержание"
"Such a block identifier in selected store already exist.","Такой идентификатор блока уже существует в данном магазине."
"Delete Page","Удалить страницу"
"Delete Block","Удалить блок"
"Manage Pages","Управление страницами"
"Poll Manager","Управление опросами"
"Layout","Шаблон"
"This page no longer exists","Эта страница не существует"
"This block no longer exists","Этот блок не существует"
"Store View","Магазин(ы)"
"Identifier","Идентификатор"
"Page Identifier for specified store already exist.","Идентификатор страницы для указанного магазина уже существует."
"Page Identifier cannot consist only of numbers.","Идентификатор страницы не может состоять только из цифр."
"SEF URL Identifier","Идентификатор для адресной строки (SEF URL)"
"Page Information","Информация о странице"
"Block Information","Информация о блоке"
"Product Tax Class Information","Информация о налогах для продукта"
"Customer Tax Class Information","Информация о налогах для покупателя"
"Block was successfully saved","Блок был успешно сохранён"
"Block was successfully deleted","Блок был успешно удалён"
"CMS Home Page","В начало CMS"
"All countries","Все страны"
"Disabled","Выкючено"
"Enabled","Включено"
"Home","Главная страница"
"Custom Theme From","Другая тема c"
"Custom Theme To","Другая тема до"
"Date Created","Дата создания"
"Meta Data","Данные META"
"Add New Page","Добавить новую страницу"
"Add New Block","Добавить новый блок"
"Action","Действие"
