"-- Please select --","-- Выберите --"
"Country Api","Api страны"
"Region Api","Api области"
"Webservicex","Webservicex"
"Continue &raquo;","Продолжить &raquo;"
"Currency Update Warnings","Предупреждение обновления валюты"
"Error Email Recipient","Получатель письма об ошибке"
"Invalid rates received","Получены неправильные ставки"
"Error Email Sender","Отправитель письма об ошибке"
"Currency Options","Опции валюты"
"Strikeiron Email Update Warnings","Адрес электронной почты для получения предупреждений об обновлении"
"Currency Setup","Настройки валюты"
"Unable to initialize import model","Не удается инициализировать модель импорта"
"Cannot retrieve rate from %s","Не удается получить тариф от %s"
"Invalid country code: %s","Неверный код страны: %s"
"Invalid target currency","Неверная валюта назначения"
"Undefined rate from ""%s-%s""","Неопределенная ставка от""%s-%s"""
"Allowed currencies","Разрешенные валюты"
"Region","Регион"
"Country","Страна"
"Country and Format Type combination should be unique","Сочетание страны и типа формата должно быть уникальным"
"List of countries","Список стран"
"List of regions in specified country","Список областей в выбранной стране"
"Service","Сервис"
"Connection timeout in seconds","Таймаут соединения в секундах"
"Your current currency is: %s","Текущая валюта: %s"
"Installed Currencies","Установленные валюты"
"Remove space from currency sign","Удалите символ «Пробел» из обозначения валюты"
"Invalid Import Service Specified","Указан неправильный сервис импорта"
"FATAL ERROR:","Фатальная ошибка:"
"Frequency","Частота"
"State/Province","Штат/Область"
"Error Email Template","Шаблон письма об ошибке"
"Scheduled Import Settings","Запланированный импорт настроек"
"Base currency","Базовая валюта"
"Select Your Currency","Выберите вашу валюту"
"Start Time","Время начала"
"Currency will be used for all online payment transactions","Валюта должна быть использована для всех онлайн сделок"
"Currency","Валюта, отображаемая по умолчанию"
"Default display currency","Валюта, отображаемая по умолчанию"
"Enabled","Включено"
"WARNING:","Внимание!"
"Directory","Директория"
