"Default Product Listing Sort by not exists on Available Product Listing Sort by","Default Product Listing Sort by not exists on Available Product Listing Sort by"
"EAV types and attributes","EAV типы и атрибуты"
"The attribute code '%s' is reserved by system. Please, try another attribute code.","Код атрибута '%s' зарезервирован в система. Введите другой код."
"Joined field with this alias (%s) is already declared","Присоединяемые поля для этого псевдонима (alias) (%s) уже объявлены"
"Joined field with this alias is already declared","Присоединяемые поля для этого псевдонима (alias) уже объявлены"
"Joined field or attribute expression with this alias is already declared","Присоединяемые поля или выражение атрибута с этим алиасом уже объявлены"
"Problem saving a record, aborting. Error: ","Проблема сохранения записи. Ошибка:"
"Problem saving the collection, aborting. Error: %s","Проблема сохранения записи. Ошибка: %s"
"Problem loading a record, aborting. Error: %s","Проблема загрузки записи. Ошибка: %s"
"Problem loading the collection, aborting. Error: %s","Проблема загрузки коллекции. Ошибка: %s"
"Entity collections expected","Пропущены коллекции сущности"
"Entity collection expected","Пропущена коллекция сущности"
"Invalid entity supplied","Поставлена неправильная сущность"
"Invalid entity supplied: %s","Поставлена неправильная сущность: %s"
"Attempt to add an invalid object","Попытка добавить неправильный объект"
"Scope must not be changed, because the attribute is used in configurable products.","Область не должна изменяться, потому что атрибут используется в конфигурируемых товарах."
"Valid store_id is expected!","Ожидается верный store_id"
"Attribute '%s' used in configurable products.","Атрибут '%s' используется в конфигурируемых товарах."
"Attribute with the same code","Атрибут с тем же кодом"
"Attribute set with the ""%s"" name already exists","Атрибут с именем ""%s"" уже существует"
"Attribute used in configurable products.","Атрибут используется в конфигурируемых товарах."
"Frontend label is not defined","Название для сайта не было определено"
"Failed to load node %s from config.","Не удаётся загрузить узел %s из настроек."
"No","Нет"
"Invalid attribute type","Неверный тип атрибута"
"Invalid data object key","Неверный ключ данных объекта"
"Invalid attribute name: %s","Неверное имя атрибута: %s"
"Unknown parameter","Неизвестный параметр"
"Invalid entity_id, skipping the record","Неправильный entity_id, пропуск записи"
"Wrong entity ID","Неправильный ID сущности"
"Wrong attribute ID","Неправильный ID атрибута"
"Wrong attribute group ID","Неправильный ID группы атрибута"
"Wrong attribute set ID","Неправильный ID набора атрибутов"
"Invalid character encountered in increment ID: %s","Неправильный символ в инкрементом ID: %s"
"Invalid entity type","Неправильный тип сущности"
"Invalid foreign key","Неправильный внешний ключ"
"Invalid alias, already exists in joined attributes","Неправильный псевдоним (alias), уже существует в присоединенных атрибутах"
"Invalid joined fields","Неправильные присоединяемые поля"
"Entity is not initialized","Сущность не инициализируется"
"Saved ","Сохранено"
"Invalid store specified","Указан неверный магазин"
"Invalid entity_type specified: %s","Указан неправильный entity_type: %s"
"Invalid entity specified","Указана неправильная сущность"
"Data integrity: No header row found for attribute","Целостность данных: не найдено строка заголовка для атрибута"
"Loaded %d records","Загружено %d записей"
"Invalid attribute requested: %s","Запрошен неправильный атрибут: %s"
"Value of attribute ""%s"" must be unique","Значение атрибута ""%s"" должно быть уникальным"
"Default option value is not defined","Значение варианта по умолчанию не определено"
"No options found in config node %s","В конфигурационном узле %s параметры не обнаружены"
"Yes","Да"
