"%s Item(s)","% товар(ов)"
"&copy; 2008 Magento Demo Store. All Rights Reserved.","&copy; 2008 IQBeauty интернет магазин. Все права защищены."
"(Shift-)Click or drag to change value","(Shift-)Click or drag to change value"
"(ver. %s)","(вер. %s)"
"- Click on any of the time parts to increase it","- Click on any of the time parts to increase it"
"- Hold mouse button on any of the above buttons for faster selection.","- Hold mouse button on any of the above buttons for faster selection."
"- or click and drag for faster selection.","- or click and drag for faster selection."
"- or Shift-click to decrease it","- or Shift-click to decrease it"
"- Use the %s buttons to select month","- Use the %s buttons to select month"
"- Use the %s, %s buttons to select year","- Use the %s, %s buttons to select year"
"About the calendar","About the calendar"
"Close","Close"
"Date selection:","Date selection:"
"DHTML Date/Time Selector","DHTML Date/Time Selector"
"Display %s first","Display %s first"
"Distributed under GNU LGPL. See %s for details.","Distributed under GNU LGPL. See %s for details."
"Drag to move","Drag to move"
"For latest version visit: %s","For latest version visit: %s"
"Go Today","Go Today"
"Next month (hold for menu)","Next month (hold for menu)"
"Next year (hold for menu)","Next year (hold for menu)"
"Prev. month (hold for menu)","Prev. month (hold for menu)"
"Prev. year (hold for menu)","Prev. year (hold for menu)"
"Select date","Select date"
"Skip to Footer","Skip to Footer"
"Skip to Left Column","Skip to Left Column"
"Skip to Right Column","Skip to Right Column"
"Time selection:","Time selection:"
"Time:","Time:"
"Skip to Main Content","Пропустить"
"Previous Page","Предыдущая страница:"
"Show","Показать"
"Help Us to Keep Magento Healthy","Помогите сделать Magento еще лучше - сообщайте о всех ошибках"
"Click <a href=""%s"">here</a> if nothing has happened","Перейдите по <a href=""%s"">ссылке</a>, если ничего не произошло"
"Redirecting...","Перенаправление..."
"Items %s to %s of %s total","С %s до %s из %s"
"Page:","Страница:"
"Default Description","Стандартное описание"
"Default welcome msg!","Стандартное приветствие!"
"Next Page","Следующая страница"
"Report All Bugs","Сообщайте обо всех ошибках"
"You're currently on:","Текущая страница:"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Это демонстрационный магазин. Размещенные заказы не будут обработаны."
"Interface Language","Язык интерфейса"
"per page","на страницу"
"Close Window","Закрыть окно"
"Select Store","Выберите магазин"
"Your Language","Ваш язык"
"Your Language:","Ваш язык:"
"Welcome, %s!","Добро пожаловать, %s!"
