"Amex","Amex"
"API User Name","ApI имя пользователя"
"API Password","API пароль"
"API Signature","API подпись"
"Example: <b>https://www.paypal.com/au/cgi-bin/webscr?cmd=_express-checkout&useraction=<user_action>&amp;token=</b> Where &lt;user_action&gt; is 'commit' or 'continue', depending on your preference of commit button text.","Example: <b>https://www.paypal.com/au/cgi-bin/webscr?cmd=_express-checkout&useraction=<user_action>&amp;token=</b> Where &lt;user_action&gt; is 'commit' or 'continue', depending on your preference of commit button text."
"MasterCard","Mastercard"
"PayPal Express Checkout","PayPal Express Checkout"
"Paypal URL","Paypal URL"
"PayPal Website Payments Pro - Direct Payments","PayPal Website Payments Pro — Прямые платежи"
"PayPal Website Payments Standard","PayPal Website Payments Standard"
"Sandbox Flag","Sandbox флаг"
"Switch/Solo card issue number: %s","Switch/Solo card issue number: %s"
"Switch/Solo card start Date: %s/%s","Switch/Solo card start Date: %s/%s"
"Switch/Solo Only","Switch/Solo только"
"Paypal Logo Image URL","URL логотипа Paypal"
"Visa","Visa"
"Website Payments Pro and Express Checkout (API Signature)","Website Payments Pro и Express Checkout (API Подпись)"
"Website Payments Standard","Website Payments Standard"
"Sorry, no quotes are available for this order at this time.","К сожалению, в данный момент quotes отсутствуют для этого заказа"
"Selected currency code (","Код выбранной валюты ("
"Qty","Кол-во"
"Problem during communication with PayPal","Проблема во время соединения с PayPal"
"Card Verification Number","Проверочный номер карты (CVC2)"
"Sale","Продажа"
"There has been an error processing your payment. Please try later or contact us for help.","Произошла ошибка при обработке вашего платежи. Попробуйте позже или свяжитесь с нами для помощи."
"Your billing address will be ignored and you will be redirected to PayPal UK website","Платежный адрес будут проигнорирован, и вы будете перенаправлены на сайт системы PayPal, Великобритания"
"Sort order","Порядок сортировки"
"Proxy Port","Порт прокси сервера"
"Customer returned from PayPal site.","Покупатель вернулся с сайта PayPal."
"Received IPN verification","Полученная IPN проверка"
"There was an error connecting to the Paypal server: %s","Ошибка соединения с сервером Paypal: %s"
"Error in creating an invoice","Ошибка при создании счета"
"Error in refunding the payment","Ошибка при возврате платежа"
"There was an error during communication with Paypal: %s - %s","Ошибка передачи данных с сервером Paypal: %s - %s"
"Submitting order information...","Отправка информации о заказе ..."
"Paypal Checkout","Оформление заказа Paypal"
"Order total amount does not match paypal gross total amount","Общая сумма заказа не совпадаетс общей суммой PayPal"
"Review Order","Обзор заказа"
"Update Shipping Method","Обновить способ доставки"
"Payment from Specific countries","Оплата из выбранных стран"
"Payment from applicable countries","Оплата из доступных стран"
"Authorization","Авторизация"
"Authorize and Capture","Авторизовать и захватить"
"Shipping Address","Адрес доставки"
"Proxy Host","Адрес прокси сервера"
"PayPal Accounts","Аккаунты PayPal"
"Product Name","Название товара"
"New order status","Новый статус заказа"
"Issue Number","Номер выпуска"
"Credit Card Number","Номер кредитной карты"
"Credit Card Number: xxxx-%s","Номер кредитной карты: xxxx-%s"
"Name on Card","Номер карты"
"Name on the Card: %s","Номер карты: %s"
"N/A","Не доступно"
"Unknown PayPal API error: %s","Неизвестная ошибка API Paypal: %s"
"Paypal IPN Invalid %s.","Неправильный Paypal IPN  %s."
"Invalid transaction id","Неправильный идентификатор транзакции"
"Place an Order","Разместить заказ"
"Edit Shopping Cart","Редактировать корзину"
"Page Style","Стиль страницы"
"Invoice #%s created","Счет #%s создан"
"PayPal Uk Account","Счет PayPal Uk"
"Expiration Date","Срок действия"
"Expiration Date: %s/%s","Срок действия: %s/%s"
"Type","Тип"
"Transaction Type","Тип транзакции"
"Credit Card Type","Тип кредитной карты"
"Credit Card Type: %s","Тип кредитной карты: %s"
"Credit Card Types","Типы кредитных карт"
"Items in Your Shopping Cart","Товары в вашей корзине"
"Debug Flag","Флаг отлажки"
"Price","Цена"
"What is this?","Что это?"
"PayPal Email","Эл. почта PayPal"
"Maximum image size is 750x90 px.","Максимальный размер изображения 750x90 пикселей."
"Shipping Method","Метод доставки"
"Payment Method","Метод оплаты"
"Discover","Исследовать"
"Use Proxy","Использовать прокси-сервер"
"Subtotal","Итого"
"Change Shipping Address","Изменить адрес доставки"
"Shipping Information","Информация о доставке"
"Billing Information","Информация оплаты"
"Title","Заголовок"
"Order","Заказ"
"Business Account","Бизнес аккаунт"
"Business Name","Бизнес имя"
"You will be redirected to Paypal in a few seconds.","Вы будете перенаправлены на сайт Paypal через несколько секунд."
"Change Payment Method","Выберите способ оплаты"
"Please select a shipping method...","Выберите метод доставки ..."
"Please select a valid shipping method","Выберите правильный тип доставки"
"Incl. Tax","Включая налог"
"Enabled","Включено"
"Start Date","Дата начала"
"No shipping method required.","Доставка не требуется."
"Payment Action","Действие оплаты"
