"ID","ID"
"Votes Count","Количество голосов"
"Votes Count:","Количество голосов:"
"Number of Responses","Количество ответов"
"Assigned Answers","Присвоенные ответы"
"Answer with the same title in this poll","Ответ с таким же названием, в этом опросе"
"Answer was successfully saved","Ответ был успешно сохранен"
"Poll Answers","Ответы опроса"
"Open","Открыт"
"Community Poll","Опрос"
"Poll with the same question","Опрос с таким же вопросом"
"Poll not exists","Опрос не существует"
"New Poll","Новый опрос"
"Unable to find answer to delete.","Не удается найти ответ для удаления."
"Invalid Answer","Неправильный ответ"
"Edit Answer '%s'","Редактировать ответ '%s'"
"Edit Poll Answer","Редактировать ответы опроса"
"Edit Poll '%s'","Редактировать опрос '%s'"
"Status","Статус"
"Save Answer","Сохранить ответ"
"Save Poll","Сохранить опрос"
"Delete Answer","Удалить ответ"
"Delete","Удалить опрос"
"Delete Poll","Удалить опрос"
"Poll Manager","Менеджер опросов"
"Poll Information","Информация об опросе"
"Poll information","Информация об опросе"
"Answer Title","Заголовок ответа"
"Answer Title:","Заголовок ответа:"
"Closed","Закрыт"
"Disallow voting in a poll multiple times from same IP-address","Запретить несколько раз голосовать с одного  IP-адреса "
"Are you sure you want to delete it?","Вы уверены, что хотите удалить это?"
"Visible In","Видимый в"
"Poll Question","Вопрос опроса"
"Vote","Голосовать"
"Date Closed","Дата закрытия"
"Date Posted","Дата отправки"
"Add New Answer","Добавить новый ответ"
"Add New Poll","Добавить новый опрос"
"Add Answer","Добавить ответ"
"Actions","Действия"
