"1 star","1 star"
"2 stars","2 stars"
"3 stars","3 stars"
"4 stars","4 stars"
"5 stars","5 stars"
"ID","ID"
"Assigned Options","Присвоенные варианты"
"Please select one of each ratings above","Пожалуйста, выберите один из рейтингов выше"
"Be the first to review this product","Оставьте отзыв о продукте первым"
"Rating Name","Название рейтинга"
"Option Label","Название варианта"
"New Rating","Новый рейтинг"
"Edit Rating","Редактировать рейтинг"
"Rating with the same title","Рейтинг с тем же названием"
"Rating isn't Available","Рейтинг недоступен"
"Save Rating","Сохранить рейтинг"
"Delete Rating","Удалить рейтинг"
"Manage Ratings","Управление рейтингами"
"Rating Information","Информация о рейтинге"
"Rating Title","Заголовок рейтинга"
"Option Title","Заголовок варианта"
"Option Title:","Заголовок варианта:"
"Default Value","Значение по умолчанию"
"If you do not specify a rating title for a store, the default value will be used.","Будет использовано значение по умолчанию, если вы не укажете рейтинг магазина"
"Rating Options","Варианты рейтинга"
"Visible In","Видимость "
"Rating Visibility","Видимость рейтинга"
"Add New Rating","Добавить новый рейтинг"
